基金全称,招商中证新能源汽车指数型证券投资基金,基金简称,招商中证新能源汽车指数A
基金代码,013195（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2021年08月12日,成立日期/规模,2021年08月27日 / 2.636亿份
资产规模,1.26亿元（截止至：2025年06月30日）份额规模2.2622亿份（截止至：2025年06月30日）,份额规模,2.2622亿份（截止至：2025年06月30日）
基金管理人,招商基金,基金托管人,浙商银行
基金经理人,刘重杰,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）天天基金优惠费率：0.10%（前端）
业绩比较基准,中证新能源汽车指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,跟踪标的,中证新能源汽车指数
