基金全称,汇添富策略增长灵活配置混合型证券投资基金,基金简称,汇添富策略增长灵活配置混合
基金代码,009715（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2020年07月14日,成立日期/规模,2020年07月24日 / 10.375亿份
资产规模,1.92亿元（截止至：2025年06月30日）份额规模1.8491亿份（截止至：2025年06月30日）,份额规模,1.8491亿份（截止至：2025年06月30日）
基金管理人,汇添富基金,基金托管人,招商银行
基金经理人,李灵毓,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证800指数收益率*60%+恒生指数收益率(使用估值汇率折算)*10%+中债综合指数收益率*30%,跟踪标的,该基金无跟踪标的
