基金全称,易方达全球成长精选混合型证券投资基金(QDII),基金简称,易方达全球成长精选混合(QDII)人民币A
基金代码,012920（前端）基金类型QDII-混合偏股,基金类型,QDII-混合偏股
发行日期,2021年12月21日,成立日期/规模,2022年01月11日 / 4.367亿份
资产规模,6.08亿元（截止至：2025年06月30日）份额规模3.7754亿份（截止至：2025年06月30日）,份额规模,3.7754亿份（截止至：2025年06月30日）
基金管理人,易方达基金,基金托管人,宁波银行
基金经理人,郑希,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证800指数收益率*65%+标普全球1200指数(使用估值汇率折算)收益率*20%+中债总指数收益率*15%,跟踪标的,该基金无跟踪标的
