基金全称,东兴兴晟混合型证券投资基金,基金简称,东兴兴晟混合C
基金代码,009328（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年07月15日,成立日期/规模,2020年08月05日 / 3.850亿份
资产规模,0.06亿元（截止至：2025年06月30日）份额规模0.0475亿份（截止至：2025年06月30日）,份额规模,0.0475亿份（截止至：2025年06月30日）
基金管理人,东兴基金,基金托管人,浙商银行
基金经理人,李晨辉、李兵伟,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率×60%+中债综合指数收益率×40%,跟踪标的,该基金无跟踪标的
