基金全称,百嘉百瑞混合型发起式证券投资基金,基金简称,百嘉百瑞混合发起式A
基金代码,018148（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2023年08月07日,成立日期/规模,2023年08月29日 / 0.102亿份
资产规模,0.19亿元（截止至：2025年06月30日）份额规模0.1437亿份（截止至：2025年06月30日）,份额规模,0.1437亿份（截止至：2025年06月30日）
基金管理人,百嘉基金,基金托管人,兴业银行
基金经理人,黄艺明,成立来分红,每份累计0.30元（2次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率*50%+恒生指数收益率*25%+中债综合财富(总值)指数收益率*25%,跟踪标的,该基金无跟踪标的
