基金全称,中银智能制造股票型证券投资基金,基金简称,中银智能制造股票C
基金代码,012181（前端）基金类型股票型,基金类型,股票型
发行日期,2015年06月08日,成立日期/规模,2021年05月14日 / --
资产规模,0.79亿元（截止至：2025年06月30日）份额规模0.4367亿份（截止至：2025年06月30日）,份额规模,0.4367亿份（截止至：2025年06月30日）
基金管理人,中银基金,基金托管人,中信银行
基金经理人,周斌,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证装备产业指数收益率*80%+中债综合指数收率*20%,跟踪标的,该基金无跟踪标的
