基金全称,国联沪港深大消费主题灵活配置混合型发起式证券投资基金,基金简称,国联沪港深大消费主题A
基金代码,005142（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2017年10月23日,成立日期/规模,2017年11月16日 / 2.990亿份
资产规模,0.18亿元（截止至：2025年06月30日）份额规模0.2127亿份（截止至：2025年06月30日）,份额规模,0.2127亿份（截止至：2025年06月30日）
基金管理人,国联基金,基金托管人,国泰海通
基金经理人,梁勤之,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证港股通大消费主题指数收益率(经汇率调整后)*65%+中债综合(全价)指数收益率*35%,跟踪标的,该基金无跟踪标的
