基金全称,创金合信资源主题精选股票型发起式证券投资基金,基金简称,创金合信资源股票发起式A
基金代码,003624（前端）基金类型股票型,基金类型,股票型
发行日期,2016年10月25日,成立日期/规模,2016年11月02日 / 0.102亿份
资产规模,3.32亿元（截止至：2025年06月30日）份额规模1.3127亿份（截止至：2025年06月30日）,份额规模,1.3127亿份（截止至：2025年06月30日）
基金管理人,创金合信基金,基金托管人,工商银行
基金经理人,李游、黄超,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证内地资源指数收益率×90%+人民币活期存款利率(税后)×10%,跟踪标的,该基金无跟踪标的
