基金全称,交银施罗德创业板50指数型证券投资基金,基金简称,交银创业板50指数C
基金代码,007465（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2019年10月25日,成立日期/规模,2019年11月20日 / 13.696亿份
资产规模,12.93亿元（截止至：2025年06月30日）份额规模9.921亿份（截止至：2025年06月30日）,份额规模,9.921亿份（截止至：2025年06月30日）
基金管理人,交银施罗德基金,基金托管人,招商银行
基金经理人,邵文婷、蔡铮,成立来分红,每份累计0.16元（2次）
管理费率,0.50%（每年）,托管费率,0.15%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,创业板50指数收益率*95%+人民币银行活期存款利率(税后)*5%,跟踪标的,创业板50指数
