基金全称,海富通创业板综指增强型发起式证券投资基金,基金简称,海富通创业板增强C
基金代码,005287（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2018年01月12日,成立日期/规模,2018年04月08日 / 0.398亿份
资产规模,0.64亿元（截止至：2025年06月30日）份额规模0.493亿份（截止至：2025年06月30日）,份额规模,0.493亿份（截止至：2025年06月30日）
基金管理人,海富通基金,基金托管人,工商银行
基金经理人,杜晓海,成立来分红,每份累计0.29元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,创业板综合指数收益率×95%+银行人民币活期存款利率×5%,跟踪标的,创业板综合指数
