基金全称,中邮科技创新精选混合型证券投资基金,基金简称,中邮科技创新精选混合C
基金代码,008981（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年02月20日,成立日期/规模,2020年02月27日 / 9.940亿份
资产规模,5.14亿元（截止至：2025年06月30日）份额规模3.4271亿份（截止至：2025年06月30日）,份额规模,3.4271亿份（截止至：2025年06月30日）
基金管理人,中邮基金,基金托管人,兴业银行
基金经理人,王瑶,成立来分红,每份累计0.31元（1次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.30%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中国战略新兴产业成份指数收益率×70%+上证国债指数收益率×30%,跟踪标的,该基金无跟踪标的
