基金全称,华商优势行业灵活配置混合型证券投资基金,基金简称,华商优势行业混合A
基金代码,000390（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2013年11月14日,成立日期/规模,2013年12月11日 / 6.396亿份
资产规模,40.55亿元（截止至：2025年06月30日）份额规模34.3037亿份（截止至：2025年06月30日）,份额规模,34.3037亿份（截止至：2025年06月30日）
基金管理人,华商基金,基金托管人,建设银行
基金经理人,张明昕,成立来分红,每份累计2.38元（18次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*55%+上证国债指数收益率*45%,跟踪标的,该基金无跟踪标的
