基金全称,南华丰汇混合型证券投资基金,基金简称,南华丰汇混合A
基金代码,015245（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年02月21日,成立日期/规模,2022年02月28日 / 2.027亿份
资产规模,1.16亿元（截止至：2025年06月30日）份额规模0.739亿份（截止至：2025年06月30日）,份额规模,0.739亿份（截止至：2025年06月30日）
基金管理人,南华基金,基金托管人,交通银行
基金经理人,黄志钢,成立来分红,每份累计0.00元（0次）
管理费率,0.60%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）天天基金优惠费率：0.10%（前端）
业绩比较基准,沪深300指数收益率*70%+中债综合全价(总值)指数收益率*30%,跟踪标的,该基金无跟踪标的
