基金全称,招商深证电子信息传媒产业(TMT)50交易型开放式指数证券投资基金联接基金,基金简称,招商深证TMT50ETF联接A
基金代码,217019（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2011年05月16日,成立日期/规模,2011年06月27日 / 6.057亿份
资产规模,2.36亿元（截止至：2025年06月30日）份额规模1.2269亿份（截止至：2025年06月30日）,份额规模,1.2269亿份（截止至：2025年06月30日）
基金管理人,招商基金,基金托管人,中国银行
基金经理人,侯昊,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）
业绩比较基准,深证TMT50指数收益率×95%+商业银行活期存款利率(税后)×5%,跟踪标的,深证电子信息传媒产业50指数
