基金全称,华安中证有色金属矿业主题指数型发起式证券投资基金,基金简称,华安中证有色金属矿业主题指数发起式A
基金代码,022083（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2024年09月25日,成立日期/规模,2024年09月26日 / 0.100亿份
资产规模,0.12亿元（截止至：2025年06月30日）份额规模0.1074亿份（截止至：2025年06月30日）,份额规模,0.1074亿份（截止至：2025年06月30日）
基金管理人,华安基金,基金托管人,中国银行
基金经理人,许之彦,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.80%（前端）天天基金优惠费率：0.08%（前端）
业绩比较基准,中证有色金属矿业主题指数收益率*95%+商业银行税后活期存款利率*5%,跟踪标的,中证有色金属矿业主题指数
