基金全称,景顺长城稳健回报灵活配置混合型证券投资基金,基金简称,景顺长城稳健回报混合C
基金代码,001407（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年04月07日,成立日期/规模,2015年06月08日 / --
资产规模,4.26亿元（截止至：2025年06月30日）份额规模1.9978亿份（截止至：2025年06月30日）,份额规模,1.9978亿份（截止至：2025年06月30日）
基金管理人,景顺长城基金,基金托管人,邮储银行
基金经理人,江山,成立来分红,每份累计0.06元（1次）
管理费率,0.60%（每年）,托管费率,0.15%（每年）
销售服务费率,0.20%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,1年期银行定期存款利率(税后)+3%(单利年化),跟踪标的,该基金无跟踪标的
