基金全称,东方红优势精选灵活配置混合型发起式证券投资基金,基金简称,东方红优势精选混合
基金代码,001712（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年08月10日,成立日期/规模,2015年09月08日 / 6.243亿份
资产规模,4.04亿元（截止至：2025年06月30日）份额规模3.1797亿份（截止至：2025年06月30日）,份额规模,3.1797亿份（截止至：2025年06月30日）
基金管理人,东方红资产管理,基金托管人,中国银行
基金经理人,傅奕翔,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证800指数收益率*70%+中国债券总指数收益率*30%,跟踪标的,该基金无跟踪标的
