基金全称,长信创新驱动股票型证券投资基金,基金简称,长信创新驱动股票
基金代码,519935（前端）基金类型股票型,基金类型,股票型
发行日期,2016年08月12日,成立日期/规模,2016年09月29日 / 2.206亿份
资产规模,0.13亿元（截止至：2025年06月30日）份额规模0.1046亿份（截止至：2025年06月30日）,份额规模,0.1046亿份（截止至：2025年06月30日）
基金管理人,长信基金,基金托管人,工商银行
基金经理人,沈佳,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率*80%+中证综合债券指数收益率*20%,跟踪标的,该基金无跟踪标的
