基金全称,路博迈资源精选股票型发起式证券投资基金,基金简称,路博迈资源精选股票发起A
基金代码,021875（前端）基金类型股票型,基金类型,股票型
发行日期,2024年07月22日,成立日期/规模,2024年09月19日 / 0.203亿份
资产规模,0.16亿元（截止至：2025年06月30日）份额规模0.1613亿份（截止至：2025年06月30日）,份额规模,0.1613亿份（截止至：2025年06月30日）
基金管理人,路博迈基金(中国),基金托管人,工商银行
基金经理人,黄道立,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证内地资源主题指数收益率*80%+恒生指数收益率*5%+人民币活期存款收益率(税后)*15%,跟踪标的,该基金无跟踪标的
