基金全称,鹏华中证500交易型开放式指数证券投资基金联接基金,基金简称,鹏华中证500ETF联接C
基金代码,008001（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2020年01月02日,成立日期/规模,2020年01月15日 / 3.053亿份
资产规模,0.31亿元（截止至：2025年06月30日）份额规模0.2657亿份（截止至：2025年06月30日）,份额规模,0.2657亿份（截止至：2025年06月30日）
基金管理人,鹏华基金,基金托管人,工商银行
基金经理人,陈龙,成立来分红,每份累计0.19元（1次）
管理费率,0.15%（每年）,托管费率,0.05%（每年）
销售服务费率,0.20%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率*95%+活期存款利率(税后)*5%,跟踪标的,中证500指数
