基金全称,国投瑞银开放视角精选混合型证券投资基金,基金简称,国投瑞银开放视角精选混合C
基金代码,010426（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年01月15日,成立日期/规模,2021年02月01日 / 12.141亿份
资产规模,0.91亿元（截止至：2025年06月30日）份额规模1.251亿份（截止至：2025年06月30日）,份额规模,1.251亿份（截止至：2025年06月30日）
基金管理人,国投瑞银基金,基金托管人,农业银行
基金经理人,周思捷,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率*60%+中证港股通综合指数收益率*20%+中债综合指数收益率*20%,跟踪标的,该基金无跟踪标的
