基金全称,富国上海金交易型开放式证券投资基金联接基金,基金简称,富国上海金ETF联接C
基金代码,009505（前端）基金类型指数型-其他,基金类型,指数型-其他
发行日期,2020年07月09日,成立日期/规模,2020年07月24日 / 2.842亿份
资产规模,12.79亿元（截止至：2025年06月30日）份额规模7.9336亿份（截止至：2025年06月30日）,份额规模,7.9336亿份（截止至：2025年06月30日）
基金管理人,富国基金,基金托管人,浦发银行
基金经理人,王乐乐,成立来分红,每份累计0.00元（0次）
管理费率,0.15%（每年）,托管费率,0.05%（每年）
销售服务费率,0.35%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率×95%+银行活期存款利率(税后)×5%,跟踪标的,上海金
