基金全称,宝盈国家安全战略沪港深股票型证券投资基金,基金简称,宝盈国家安全沪港深股票A
基金代码,001877（前端）基金类型股票型,基金类型,股票型
发行日期,2015年12月21日,成立日期/规模,2016年01月20日 / 2.914亿份
资产规模,3.28亿元（截止至：2025年06月30日）份额规模2.4147亿份（截止至：2025年06月30日）,份额规模,2.4147亿份（截止至：2025年06月30日）
基金管理人,宝盈基金,基金托管人,中国银行
基金经理人,容志能,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*65%+恒生综合指数收益率*15%+中债综合指数收益率*20%,跟踪标的,该基金无跟踪标的
