基金全称,嘉实全球创新龙头股票型证券投资基金(QDII),基金简称,嘉实全球创新龙头股票(QDII)人民币A
基金代码,017429（前端）基金类型QDII-普通股票,基金类型,QDII-普通股票
发行日期,2023年02月06日,成立日期/规模,2023年03月14日 / 3.576亿份
资产规模,0.28亿元（截止至：2025年06月30日）份额规模0.2722亿份（截止至：2025年06月30日）,份额规模,0.2722亿份（截止至：2025年06月30日）
基金管理人,嘉实基金,基金托管人,中国银行
基金经理人,熊昱洲、邓云龙,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,MSCI全球指数(MSCI All Country World Index)收益率*75%+沪深300指数收益率*20%+境内银行活期存款利率(税后)*5%,跟踪标的,该基金无跟踪标的
