基金全称,前海开源沪港深核心资源灵活配置混合型证券投资基金,基金简称,前海开源沪港深核心资源混合C
基金代码,003305（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年09月06日,成立日期/规模,2016年10月17日 / 2.603亿份
资产规模,4.76亿元（截止至：2025年06月30日）份额规模1.3864亿份（截止至：2025年06月30日）,份额规模,1.3864亿份（截止至：2025年06月30日）
基金管理人,前海开源基金,基金托管人,交通银行
基金经理人,吴国清,成立来分红,每份累计0.03元（1次）
管理费率,0.60%（每年）,托管费率,0.10%（每年）
销售服务费率,0.10%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率×70%+中证全债指数收益率×30%,跟踪标的,该基金无跟踪标的
