基金全称,景顺长城研究精选股票型证券投资基金,基金简称,景顺长城研究精选股票A
基金代码,000688（前端）基金类型股票型,基金类型,股票型
发行日期,2014年07月21日,成立日期/规模,2014年08月12日 / 7.909亿份
资产规模,26.06亿元（截止至：2025年06月30日）份额规模15.8813亿份（截止至：2025年06月30日）,份额规模,15.8813亿份（截止至：2025年06月30日）
基金管理人,景顺长城基金,基金托管人,建设银行
基金经理人,江山,成立来分红,每份累计0.25元（2次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数*90%+中证全债指数*10%,跟踪标的,该基金无跟踪标的
