基金全称,创金合信数字经济主题股票型发起式证券投资基金,基金简称,创金合信数字经济主题股票C
基金代码,011230（前端）基金类型股票型,基金类型,股票型
发行日期,2021年01月13日,成立日期/规模,2021年01月20日 / 0.256亿份
资产规模,1.61亿元（截止至：2025年06月30日）份额规模1.1591亿份（截止至：2025年06月30日）,份额规模,1.1591亿份（截止至：2025年06月30日）
基金管理人,创金合信基金,基金托管人,交通银行
基金经理人,王鑫,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率*50%+中证互联网指数收益率*20%+中证港股通科技指数收益率*20%+银行活期存款利率(税后)*10%,跟踪标的,该基金无跟踪标的
