基金全称,广发电子信息传媒产业精选股票型发起式证券投资基金,基金简称,广发电子信息传媒股票C
基金代码,010236（前端）基金类型股票型,基金类型,股票型
发行日期,2017年11月20日,成立日期/规模,2020年09月24日 / --
资产规模,20.17亿元（截止至：2025年06月30日）份额规模9.3698亿份（截止至：2025年06月30日）,份额规模,9.3698亿份（截止至：2025年06月30日）
基金管理人,广发基金,基金托管人,招商银行
基金经理人,冯骋,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证全指信息技术指数收益率*80%+中证全指电信业务指数收益率*10%+银行活期存款利率(税后)*10%,跟踪标的,该基金无跟踪标的
