基金全称,鹏华上证科创板50成份增强策略交易型开放式指数证券投资基金发起式联接基金,基金简称,鹏华上证科创板50成份增强策略ETF发起式联接C
基金代码,021909（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2024年08月12日,成立日期/规模,2024年08月27日 / 0.323亿份
资产规模,0.75亿元（截止至：2025年06月30日）份额规模0.5147亿份（截止至：2025年06月30日）,份额规模,0.5147亿份（截止至：2025年06月30日）
基金管理人,鹏华基金,基金托管人,中信建投
基金经理人,寇斌权,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.25%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,上证科创板50成份指数收益率*95%+银行人民币活期存款利率(税后)*5%,跟踪标的,上证科创板50成份指数
