基金全称,摩根士丹利数字经济混合型证券投资基金,基金简称,大摩数字经济混合C
基金代码,017103（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2023年02月08日,成立日期/规模,2023年03月02日 / 4.446亿份
资产规模,18.16亿元（截止至：2025年06月30日）份额规模12.4384亿份（截止至：2025年06月30日）,份额规模,12.4384亿份（截止至：2025年06月30日）
基金管理人,摩根士丹利基金,基金托管人,中国银行
基金经理人,雷志勇,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证数字经济主题指数收益率*80%+人民币活期存款利率(税后)*20%,跟踪标的,该基金无跟踪标的
