基金全称,上银丰益混合型证券投资基金,基金简称,上银丰益混合C
基金代码,011505（前端）基金类型混合型-偏债,基金类型,混合型-偏债
发行日期,2021年02月05日,成立日期/规模,2021年04月28日 / 2.071亿份
资产规模,0.35亿元（截止至：2025年06月30日）份额规模0.3218亿份（截止至：2025年06月30日）,份额规模,0.3218亿份（截止至：2025年06月30日）
基金管理人,上银基金,基金托管人,兴业银行
基金经理人,高永,成立来分红,每份累计0.00元（0次）
管理费率,0.60%（每年）,托管费率,0.10%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中债综合全价指数收益率*80%+沪深300指数收益率*20%,跟踪标的,该基金无跟踪标的
