基金全称,诺安高端制造股票型证券投资基金,基金简称,诺安高端制造股票C
基金代码,014536（前端）基金类型股票型,基金类型,股票型
发行日期,2017年05月02日,成立日期/规模,2021年12月22日 / --
资产规模,0.02亿元（截止至：2025年06月30日）份额规模0.0118亿份（截止至：2025年06月30日）,份额规模,0.0118亿份（截止至：2025年06月30日）
基金管理人,诺安基金,基金托管人,农业银行
基金经理人,童宇,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数*80%+中证全债指数*20%,跟踪标的,该基金无跟踪标的
