基金全称,万家成长优选灵活配置混合型证券投资基金,基金简称,万家成长优选混合C
基金代码,005300（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2018年01月03日,成立日期/规模,2018年02月01日 / 2.559亿份
资产规模,7.25亿元（截止至：2025年09月30日）份额规模1.8428亿份（截止至：2025年09月30日）,份额规模,1.8428亿份（截止至：2025年09月30日）
基金管理人,万家基金,基金托管人,兴业银行
基金经理人,耿嘉洲,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率×50% +上证国债指数收益率×50%,跟踪标的,该基金无跟踪标的
