基金全称,海富通成长领航混合型证券投资基金,基金简称,海富通成长领航混合A
基金代码,012410（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年10月21日,成立日期/规模,2021年12月07日 / 5.000亿份
资产规模,1.05亿元（截止至：2025年06月30日）份额规模1.4683亿份（截止至：2025年06月30日）,份额规模,1.4683亿份（截止至：2025年06月30日）
基金管理人,海富通基金,基金托管人,中信银行
基金经理人,范庭芳,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证800指数收益率*75%+恒生指数收益率(按估值汇率折算)*5%+中证综合债券指数收益率*20%,跟踪标的,该基金无跟踪标的
