基金全称,永赢惠添盈一年持有期混合型证券投资基金,基金简称,永赢惠添盈一年持有混合
基金代码,012530（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年10月22日,成立日期/规模,2021年11月09日 / 2.639亿份
资产规模,1.37亿元（截止至：2025年06月30日）份额规模1.5237亿份（截止至：2025年06月30日）,份额规模,1.5237亿份（截止至：2025年06月30日）
基金管理人,永赢基金,基金托管人,工商银行
基金经理人,许拓,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*60%+中债-综合指数(全价)收益率*30%+恒生指数收益率(按估值汇率折算)*10%,跟踪标的,该基金无跟踪标的
