基金全称,博时新收益灵活配置混合型证券投资基金,基金简称,博时新收益C
基金代码,002096（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年01月27日,成立日期/规模,2016年02月04日 / 5.018亿份
资产规模,2.92亿元（截止至：2025年06月30日）份额规模2.4149亿份（截止至：2025年06月30日）,份额规模,2.4149亿份（截止至：2025年06月30日）
基金管理人,博时基金,基金托管人,招商银行
基金经理人,过钧,成立来分红,每份累计0.74元（18次）
管理费率,0.50%（每年）,托管费率,0.15%（每年）
销售服务费率,0.10%（每年）,最高认购费率,0.60%（前端）
业绩比较基准,沪深300指数收益率×50%+中证综合债指数收益率×50%,跟踪标的,该基金无跟踪标的
