基金全称,嘉实碳中和主题混合型证券投资基金,基金简称,嘉实碳中和主题混合A
基金代码,016568（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2023年02月08日,成立日期/规模,2023年03月31日 / 2.175亿份
资产规模,0.14亿元（截止至：2025年06月30日）份额规模0.1178亿份（截止至：2025年06月30日）,份额规模,0.1178亿份（截止至：2025年06月30日）
基金管理人,嘉实基金,基金托管人,兴业银行
基金经理人,刘杰,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证内地低碳经济主题指数收益率*70%+恒生指数收益率*20%+中债综合财富指数收益率*10%,跟踪标的,该基金无跟踪标的
