基金全称,华商研究回报一年持有期混合型证券投资基金,基金简称,华商研究回报一年持有混合A
基金代码,016045（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年12月06日,成立日期/规模,2023年03月07日 / 6.195亿份
资产规模,2.10亿元（截止至：2025年06月30日）份额规模2.1829亿份（截止至：2025年06月30日）,份额规模,2.1829亿份（截止至：2025年06月30日）
基金管理人,华商基金,基金托管人,建设银行
基金经理人,童立,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证800指数收益率*60%+中证全债指数收益率*20%+中证港股通综合指数收益率*20%,跟踪标的,该基金无跟踪标的
