基金全称,招商北证50成份指数型发起式证券投资基金,基金简称,招商北证50成份指数发起式C
基金代码,017518（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2022年11月29日,成立日期/规模,2022年12月22日 / 1.696亿份
资产规模,2.21亿元（截止至：2025年06月30日）份额规模1.4643亿份（截止至：2025年06月30日）,份额规模,1.4643亿份（截止至：2025年06月30日）
基金管理人,招商基金,基金托管人,中信建投
基金经理人,韩冰、邓童,成立来分红,每份累计0.00元（0次）
管理费率,0.80%（每年）,托管费率,0.15%（每年）
销售服务费率,0.30%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,北证50成份指数
