基金全称,平安均衡成长2年持有期混合型证券投资基金,基金简称,平安均衡成长2年持有混合A
基金代码,015699（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年05月06日,成立日期/规模,2022年07月19日 / 4.003亿份
资产规模,1.76亿元（截止至：2025年09月30日）份额规模1.7507亿份（截止至：2025年09月30日）,份额规模,1.7507亿份（截止至：2025年09月30日）
基金管理人,平安基金,基金托管人,工商银行
基金经理人,王华,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*60%+中证全债指数收益率*20%+恒生指数收益率(经汇率调整)*20%,跟踪标的,该基金无跟踪标的
