基金全称,广发中证全指信息技术交易型开放式指数证券投资基金发起式联接基金,基金简称,广发信息技术联接C
基金代码,002974（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2015年01月05日,成立日期/规模,2016年07月06日 / --
资产规模,3.49亿元（截止至：2025年06月30日）份额规模2.9687亿份（截止至：2025年06月30日）,份额规模,2.9687亿份（截止至：2025年06月30日）
基金管理人,广发基金,基金托管人,中国银行
基金经理人,霍华明,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.20%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证全指信息技术指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,中证全指信息技术指数
