基金全称,中银数字经济混合型证券投资基金,基金简称,中银数字经济混合A
基金代码,019426（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2024年01月24日,成立日期/规模,2024年04月25日 / 2.435亿份
资产规模,0.05亿元（截止至：2025年06月30日）份额规模0.0461亿份（截止至：2025年06月30日）,份额规模,0.0461亿份（截止至：2025年06月30日）
基金管理人,中银基金,基金托管人,交通银行
基金经理人,杨雷,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证数字经济主题指数收益率*60%+恒生指数收益率(经人民币汇率折算)*20%+中债综合全价(总值)指数收益率*20%,跟踪标的,该基金无跟踪标的
