基金全称,嘉实远见先锋一年持有期混合型证券投资基金,基金简称,嘉实远见先锋一年持有期混合C
基金代码,012853（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年08月16日,成立日期/规模,2021年08月31日 / 30.669亿份
资产规模,0.96亿元（截止至：2025年06月30日）份额规模1.3312亿份（截止至：2025年06月30日）,份额规模,1.3312亿份（截止至：2025年06月30日）
基金管理人,嘉实基金,基金托管人,工商银行
基金经理人,姚志鹏,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,0.00%（前端）
业绩比较基准,中证800指数收益率*65%+恒生指数收益率*15%+中债综合财富指数收益率*20%,跟踪标的,该基金无跟踪标的
