基金全称,中银科技创新一年定期开放混合型证券投资基金,基金简称,中银科技创新一年定开混合
基金代码,009411（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年07月20日,成立日期/规模,2020年08月05日 / 6.549亿份
资产规模,1.57亿元（截止至：2025年06月30日）份额规模2.3627亿份（截止至：2025年06月30日）,份额规模,2.3627亿份（截止至：2025年06月30日）
基金管理人,中银基金,基金托管人,兴业银行
基金经理人,杨雷,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中国战略新兴产业成份指数收益率×60%+恒生指数收益率×20%+中债综合(总值)指数收益率×20%,跟踪标的,该基金无跟踪标的
