基金全称,汇安多因子混合型证券投资基金,基金简称,汇安多因子混合C
基金代码,006649（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2019年03月25日,成立日期/规模,2019年04月30日 / 4.983亿份
资产规模,1.95亿元（截止至：2025年06月30日）份额规模1.2221亿份（截止至：2025年06月30日）,份额规模,1.2221亿份（截止至：2025年06月30日）
基金管理人,汇安基金,基金托管人,光大银行
基金经理人,柳预才,成立来分红,每份累计0.03元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率×60%+中证综合债券指数收益率×40%,跟踪标的,该基金无跟踪标的
