基金全称,中信保诚中证智能家居指数型证券投资基金(LOF),基金简称,中信保诚中证智能家居指数(LOF)A
基金代码,165524（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2015年06月08日,成立日期/规模,2015年06月26日 / 4.559亿份
资产规模,0.45亿元（截止至：2025年06月30日）份额规模0.461亿份（截止至：2025年06月30日）,份额规模,0.461亿份（截止至：2025年06月30日）
基金管理人,中信保诚基金,基金托管人,中国银行
基金经理人,黄稚,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.80%（前端）
业绩比较基准,中证智能家居指数收益率*95%+金融同业存款利率*5%,跟踪标的,中证智能家居指数
