基金全称,浦银安盛高端装备混合型发起式证券投资基金,基金简称,浦银安盛高端装备混合C
基金代码,019865（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2024年03月11日,成立日期/规模,2024年03月28日 / 0.130亿份
资产规模,1.41亿元（截止至：2025年06月30日）份额规模0.8338亿份（截止至：2025年06月30日）,份额规模,0.8338亿份（截止至：2025年06月30日）
基金管理人,浦银安盛基金,基金托管人,招商银行
基金经理人,李浩玄,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证高端装备制造指数收益率*75%+中证港股通综合指数收益率*5%+中证全债指数收益率*20%,跟踪标的,该基金无跟踪标的
