基金全称,富国成长动力混合型证券投资基金,基金简称,富国成长动力混合C
基金代码,015715（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年04月08日,成立日期/规模,2022年06月16日 / --
资产规模,0.20亿元（截止至：2025年06月30日）份额规模0.2274亿份（截止至：2025年06月30日）,份额规模,0.2274亿份（截止至：2025年06月30日）
基金管理人,富国基金,基金托管人,农业银行
基金经理人,曹晋,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率*70%+恒生指数收益率(使用汇率估值折算)*10%+中债综合全价指数收益率*20%,跟踪标的,该基金无跟踪标的
