基金全称,平安睿享成长混合型证券投资基金,基金简称,平安睿享成长混合A
基金代码,011828（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年07月15日,成立日期/规模,2021年08月05日 / 6.524亿份
资产规模,1.46亿元（截止至：2025年06月30日）份额规模2.0554亿份（截止至：2025年06月30日）,份额规模,2.0554亿份（截止至：2025年06月30日）
基金管理人,平安基金,基金托管人,招商银行
基金经理人,黄维,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*70%+中证全债指数收益率*25%+恒生指数收益率(经汇率调整)*5%,跟踪标的,该基金无跟踪标的
