基金全称,嘉实中证新兴科技100策略交易型开放式指数证券投资基金联接基金,基金简称,嘉实新兴科技100ETF联接C
基金代码,007816（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2019年10月09日,成立日期/规模,2019年11月01日 / 3.301亿份
资产规模,0.23亿元（截止至：2025年06月30日）份额规模0.203亿份（截止至：2025年06月30日）,份额规模,0.203亿份（截止至：2025年06月30日）
基金管理人,嘉实基金,基金托管人,中国银行
基金经理人,尚可,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.20%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证新兴科技100策略指数收益率×95%+银行活期存款税后利率×5%,跟踪标的,中证新兴科技100策略指数
