基金全称,财通资管创新成长混合型证券投资基金,基金简称,财通资管创新成长混合A
基金代码,020075（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2024年03月04日,成立日期/规模,2024年03月26日 / 7.969亿份
资产规模,0.60亿元（截止至：2025年06月30日）份额规模0.4341亿份（截止至：2025年06月30日）,份额规模,0.4341亿份（截止至：2025年06月30日）
基金管理人,财通资管,基金托管人,工商银行
基金经理人,包斅文,成立来分红,每份累计0.11元（2次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*70%+中债综合指数(全价)收益率*30%,跟踪标的,该基金无跟踪标的
