基金全称,信澳转型创新股票型证券投资基金,基金简称,信澳转型创新股票A
基金代码,001105（前端）基金类型股票型,基金类型,股票型
发行日期,2015年03月19日,成立日期/规模,2015年04月15日 / 28.635亿份
资产规模,1.69亿元（截止至：2025年06月30日）份额规模1.826亿份（截止至：2025年06月30日）,份额规模,1.826亿份（截止至：2025年06月30日）
基金管理人,信达澳亚基金,基金托管人,建设银行
基金经理人,朱然,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*85%+上证国债指数收益率*15%,跟踪标的,该基金无跟踪标的
