基金全称,景顺长城中证科技传媒通信150交易型开放式指数证券投资基金联接基金,基金简称,景顺长城中证科技传媒通信150ETF联接A
基金代码,001361（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2015年05月26日,成立日期/规模,2015年06月15日 / 12.807亿份
资产规模,3.09亿元（截止至：2025年06月30日）份额规模4.1345亿份（截止至：2025年06月30日）,份额规模,4.1345亿份（截止至：2025年06月30日）
基金管理人,景顺长城基金,基金托管人,中国银行
基金经理人,金璜,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）
业绩比较基准,中证科技传媒通信150指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,中证科技传媒通信150指数
