基金全称,融通产业趋势臻选股票型证券投资基金,基金简称,融通产业趋势臻选股票A
基金代码,009891（前端）基金类型股票型,基金类型,股票型
发行日期,2020年07月30日,成立日期/规模,2020年08月17日 / 18.805亿份
资产规模,14.59亿元（截止至：2025年09月30日）份额规模7.0278亿份（截止至：2025年09月30日）,份额规模,7.0278亿份（截止至：2025年09月30日）
基金管理人,融通基金,基金托管人,建设银行
基金经理人,李进,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*80%+中证香港100指数收益率*10%+中债综合全价(总值)指数收益率*10%,跟踪标的,该基金无跟踪标的
