基金全称,国金新兴价值混合型证券投资基金,基金简称,国金新兴价值混合C
基金代码,014819（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年02月08日,成立日期/规模,2022年03月08日 / 2.835亿份
资产规模,0.62亿元（截止至：2025年06月30日）份额规模0.7319亿份（截止至：2025年06月30日）,份额规模,0.7319亿份（截止至：2025年06月30日）
基金管理人,国金基金,基金托管人,中信银行
基金经理人,张望,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*70%+中证全债指数收益率*20%+中证港股通综合指数(人民币)收益率*10%,跟踪标的,该基金无跟踪标的
