基金全称,天弘中证500指数增强型证券投资基金,基金简称,天弘中证500指数增强C
基金代码,001557（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2015年06月29日,成立日期/规模,2015年06月30日 / 0.100亿份
资产规模,9.69亿元（截止至：2025年06月30日）份额规模8.0099亿份（截止至：2025年06月30日）,份额规模,8.0099亿份（截止至：2025年06月30日）
基金管理人,天弘基金,基金托管人,招商证券
基金经理人,杨超,成立来分红,每份累计0.00元（0次）
管理费率,0.60%（每年）,托管费率,0.10%（每年）
销售服务费率,0.30%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率*95%+银行活期存款税后利率*5%,跟踪标的,中证500指数
