基金全称,万家鑫动力月月购一年滚动持有混合型证券投资基金,基金简称,万家鑫动力月月购一年滚动混合
基金代码,009688（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年06月10日,成立日期/规模,2020年06月18日 / 12.878亿份
资产规模,1.37亿元（截止至：2025年09月30日）份额规模1.6851亿份（截止至：2025年09月30日）,份额规模,1.6851亿份（截止至：2025年09月30日）
基金管理人,万家基金,基金托管人,招商银行
基金经理人,高源,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率×65%+中国战略新兴产业成份指数收益率×10%+恒生指数收益率×5%+中债综合指数收益率×20%,跟踪标的,该基金无跟踪标的
