基金全称,博道成长智航股票型证券投资基金,基金简称,博道成长智航股票A
基金代码,013641（前端）基金类型股票型,基金类型,股票型
发行日期,2021年10月11日,成立日期/规模,2021年10月26日 / 27.934亿份
资产规模,9.99亿元（截止至：2025年06月30日）份额规模8.5848亿份（截止至：2025年06月30日）,份额规模,8.5848亿份（截止至：2025年06月30日）
基金管理人,博道基金,基金托管人,广发证券
基金经理人,杨梦,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
最高申购费率,1.50%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中信成长风格指数收益率*90%+同期银行活期存款利率(税后)*10%,跟踪标的,该基金无跟踪标的
