基金全称,华宝大盘精选混合型证券投资基金,基金简称,华宝大盘精选混合
基金代码,240011（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2008年09月08日,成立日期/规模,2008年10月07日 / 4.901亿份
资产规模,1.42亿元（截止至：2025年06月30日）份额规模0.5454亿份（截止至：2025年06月30日）,份额规模,0.5454亿份（截止至：2025年06月30日）
基金管理人,华宝基金,基金托管人,中国银行
基金经理人,郑英亮,成立来分红,每份累计0.51元（7次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率×80%+上证国债指数收益率×20%,跟踪标的,该基金无跟踪标的
