基金全称,鹏华中证沪港深科技龙头指数证券投资基金(LOF),基金简称,鹏华中证沪港深科技龙头指数(LOF)C
基金代码,012809（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2021年10月11日,成立日期/规模,2021年12月07日 / 2.288亿份
资产规模,0.29亿元（截止至：2025年06月30日）份额规模0.3231亿份（截止至：2025年06月30日）,份额规模,0.3231亿份（截止至：2025年06月30日）
基金管理人,鹏华基金,基金托管人,招商银行
基金经理人,钟成亮,成立来分红,每份累计0.00元（0次）
管理费率,0.60%（每年）,托管费率,0.15%（每年）
销售服务费率,0.30%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证沪港深科技龙头指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,中证沪港深科技龙头指数
