基金全称,万家科技创新混合型证券投资基金,基金简称,万家科技创新混合A
基金代码,008633（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年01月02日,成立日期/规模,2020年01月07日 / 9.915亿份
资产规模,2.03亿元（截止至：2025年09月30日）份额规模1.9849亿份（截止至：2025年09月30日）,份额规模,1.9849亿份（截止至：2025年09月30日）
基金管理人,万家基金,基金托管人,农业银行
基金经理人,武玉迪,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中国战略新兴产业成份指数收益率*60%+中证800指数收益率*15%+中债综合指数收益率*25%,跟踪标的,该基金无跟踪标的
