基金全称,信澳先进智造股票型证券投资基金,基金简称,信澳先进智造股票型A
基金代码,006257（前端）基金类型股票型,基金类型,股票型
发行日期,2018年11月19日,成立日期/规模,2019年01月17日 / 3.068亿份
资产规模,13.65亿元（截止至：2025年06月30日）份额规模6.6694亿份（截止至：2025年06月30日）,份额规模,6.6694亿份（截止至：2025年06月30日）
基金管理人,信达澳亚基金,基金托管人,建设银行
基金经理人,齐兴方,成立来分红,每份累计0.62元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率*60%+中证港股通综合指数收益率*20%+中证综合债指数收益率*20%,跟踪标的,该基金无跟踪标的
