基金全称,兴业中证500指数增强型证券投资基金,基金简称,兴业中证500指数增强C
基金代码,015508（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2022年04月25日,成立日期/规模,2022年06月07日 / 2.208亿份
资产规模,1.81亿元（截止至：2025年06月30日）份额规模1.7183亿份（截止至：2025年06月30日）,份额规模,1.7183亿份（截止至：2025年06月30日）
基金管理人,兴业基金,基金托管人,国泰海通
基金经理人,楼华锋,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.10%（每年）
销售服务费率,0.30%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率*95%+银行活期存款税后利率*5%,跟踪标的,中证500指数
