基金全称,南方中国新兴经济9个月持有期混合型证券投资基金(QDII),基金简称,南方中国新兴经济9个月持有期混合(QDII)A
基金代码,012584（前端）基金类型QDII-混合偏股,基金类型,QDII-混合偏股
发行日期,2021年07月26日,成立日期/规模,2021年08月10日 / 4.521亿份
资产规模,8.61亿元（截止至：2025年06月30日）份额规模6.3465亿份（截止至：2025年06月30日）,份额规模,6.3465亿份（截止至：2025年06月30日）
基金管理人,南方基金,基金托管人,上海银行
基金经理人,熊潇雅,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,经人民币汇率调整的MSCI中国指数收益率*50%+经人民币汇率调整的恒生指数收益率*35%+人民币同期活期存款利率*15%,跟踪标的,该基金无跟踪标的
